home,FT,away,Date,Season,hgoal,vgoal,Result
ALGA Frunze,2-1,Kuban,Mar 16 1975,1975,2,1,H
Kuzbass Kemerovo,0-1,ZVEZDA Perm,Mar 16 1975,1975,0,1,A
METALLURG Zaporozhye,2-1,Spartak Ivano-Frankovsk,Mar 16 1975,1975,2,1,D
NEFTCHI Baku,1-0,Torpedo Kutaisi,Mar 16 1975,1975,1,0,H
PAMIR Dushanbe,2-0,Spartak Nalchik,Mar 16 1975,1975,2,0,H
Spartak Orjonikidze,1-2,METALLIST Kharkov,Mar 16 1975,1975,1,2,A
TAVRIA Simferopol,3-0,Rubin Kazan,Mar 16 1975,1975,3,0,H
UralMash Sverdlovsk,1-2,SHINNIK Yaroslavl,Mar 16 1975,1975,1,2,A
Shakhtyor,0-1,ZVEZDA Perm,Mar 22 1975,1975,0,1,A
FC Ararat,4-1,Krylya Sovetov Kuibyshev,Mar 23 1975,1975,4,1,H
Chernomorets,1-2,SHINNIK Yaroslavl,Mar 23 1975,1975,1,2,A
CSKA,3-2,Tavria Simferopol,Mar 23 1975,1975,3,2,H
Dinamo Tblisi,2-1,Metallurg Zaporozhye,Mar 23 1975,1975,2,1,H
Dnepr,1-2,PAMIR Dushanbe,Mar 23 1975,1975,1,2,A
Karpaty,4-0,Neftchi Baku,Mar 23 1975,1975,4,0,H
KAYRAT Alma-Ata,3-0,Torpedo,Mar 23 1975,1975,3,0,H
Metallist Kharkov,1-4,Pahtakor,Mar 23 1975,1975,1,4,A
Nistru Kishinev,0-1,Lokomotiv,Mar 23 1975,1975,0,1,D
Zarya,1-0,SKA R/D,Mar 23 1975,1975,1,0,H
Zenit,1-0,Dinamo Minsk,Mar 23 1975,1975,1,0,H
Zvezda Perm,0-0,KAYRAT Alma-Ata,Apr 5 1975,1975,0,0,D
FC Ararat,1-0,Karpaty,Apr 6 1975,1975,1,0,D
Lokomotiv,2-1,Dinamo M,Apr 6 1975,1975,2,1,D
Pahtakor,1-1,Spartak,Apr 6 1975,1975,1,1,D
Pamir Dushanbe,0-0,Zarya,Apr 6 1975,1975,0,0,D
Shinnik Yaroslavl,0-1,CSKA,Apr 6 1975,1975,0,1,A
Zenit,0-0,Dinamo Tblisi,Apr 6 1975,1975,0,0,D
Dinamo Tblisi,2-1,Dinamo K,Jul 2 1975,1975,2,1,D
Lokomotiv,1-1,FC Ararat,Jul 2 1975,1975,1,1,D
Pahtakor,0-0,Zarya,Jul 2 1975,1975,0,0,D
CSKA,3-0,Kayrat Alma-Ata,Jul 3 1975,1975,3,0,H
FC Ararat,3-1,Dinamo Tblisi,Jul 16 1975,1975,3,1,H
Zarya,2-1,CSKA,Jul 16 1975,1975,2,1,D
FC Ararat,2-1,Zarya,Aug 9 1975,1975,2,1,H